Rank,Country,Documents,Citable documents,Citations,Self-Citations,Citations per Document,H index
121,Yemen,2447,2378,15096,1786,9.98,46
122,North Korea,2324,2278,34730,231,13.71,75
123,Mali,2219,2106,29827,3021,16.76,68
124,Cambodia,2195,1984,27294,3057,15.43,65
125,Fiji,2069,1927,17955,1707,10.7,52
126,Papua New Guinea,2067,1966,26327,2758,13.6,66
127,Mozambique,2023,1888,28544,2700,16.47,66
128,Guatemala,1998,1836,23799,1540,15.16,63
129,Namibia,1957,1839,24565,2242,15.29,67
130,Brunei Darussalam,1944,1704,13363,1246,11.12,49
131,Mauritius,1938,1830,14276,1265,9.52,50
132,New Caledonia,1937,1864,29014,3937,18.58,66
133,Gabon,1857,1754,28924,3214,18.79,73
134,Montenegro,1845,1784,5327,1143,2.68,28
135,Gambia,1825,1690,47583,4124,29.19,90
136,Barbados,1533,1311,17309,1036,13.35,60
137,Laos,1529,1438,15625,2077,14.43,54
138,Rwanda,1440,1279,11501,1031,15.05,48
139,Niger,1438,1389,16562,1451,13.08,54
140,Monaco,1436,1322,24908,2882,20.54,69
141,Guadeloupe,1341,1262,14775,1243,13.28,49
142,Myanmar,1333,1280,11429,849,13.45,46
143,Kyrgyzstan,1318,1259,7937,837,7.43,40
144,Togo,1301,1215,7447,718,7.24,37
145,Paraguay,1251,1190,14131,797,15.47,54
146,Nicaragua,1184,1124,15263,1121,16.31,56
147,French Polynesia,1138,1086,16620,1829,17.44,54
148,Liechtenstein,1137,1065,11926,1002,14.43,50
149,Tajikistan,1118,1092,3874,576,4.07,28
150,El Salvador,987,918,8126,431,9.55,40
151,Swaziland,968,890,7793,401,9.85,41
152,Dominican Republic,964,905,10880,561,15.06,47
153,Honduras,890,851,10954,537,14.98,48
154,French Guiana,872,819,12983,934,17.36,51
155,Greenland,841,812,11368,1557,20.8,45
156,Grenada,814,725,4731,239,13.83,29
157,Guam,743,688,10680,498,16.95,52
158,Afghanistan,705,604,3774,419,6.43,29
159,Ha�ti,643,572,10079,789,24.95,43
160,Angola,609,582,4351,297,10.61,31
161,Martinique,590,548,7485,211,12.08,36
