Country,Documents,Citations per Document,Clean Citation/Doc,Documents_all,AI/All Documents,Code
Ecuador,40,43.27,9.075,6371,0.6278449223041909,ECU
Puerto Rico,38,2.91,2.5789473684210527,13060,0.29096477794793263,PRI
Cameroon,31,3.95,3.6129032258064515,9874,0.31395584362973467,CMR
Fiji,31,5.98,3.3225806451612905,2069,1.4983083615273078,FJI
Paraguay,31,1.49,1.8387096774193548,1251,2.478017585931255,PRY
Nepal,30,0.04,0.03333333333333333,8044,0.37294878170064644,NPL
Panama,28,2.93,1.3571428571428572,4573,0.6122895254756178,PAN
Uganda,28,2.86,2.7857142857142856,10092,0.27744748315497425,UGA
Kenya,27,2.48,0.8518518518518519,21811,0.1237907477878135,KEN
Ghana,25,1.0,1.24,9721,0.25717518773788706,GHA
Mongolia,22,0.19,0.22727272727272727,2963,0.7424907188660141,MNG
Senegal,22,1.21,1.0909090909090908,6424,0.3424657534246575,SEN
Ethiopia,20,0.85,0.7,11381,0.17573148229505314,ETH
Sudan,20,4.87,2.85,5379,0.3718163227365681,SDN
Armenia,19,3.22,1.7894736842105263,11741,0.16182607955029382,ARM
Jamaica,19,7.77,6.315789473684211,4338,0.437989857076994,JAM
Yemen,19,4.37,3.5789473684210527,2447,0.7764609726195342,YEM
Namibia,17,1.24,0.8823529411764706,1957,0.8686765457332651,NAM
Moldova,16,0.88,0.5625,5506,0.2905920813657828,MDA
Mauritius,13,1.97,1.9230769230769231,1938,0.6707946336429308,MUS
Botswana,12,2.56,2.0,4511,0.2660164043449346,BWA
Montenegro,11,0.17,0.0,1845,0.5962059620596206,MNE
Rwanda,11,2.9,1.9090909090909092,1440,0.7638888888888888,RWA
Uzbekistan,10,1.25,0.5,8719,0.11469205184080744,UZB
Liechtenstein,8,11.44,13.5,1137,0.7036059806508356,LIE
Bolivia,7,0.75,0.7142857142857143,3236,0.21631644004944375,BOL
Tanzania,7,0.33,0.5714285714285714,10516,0.06656523392925066,TZA
Zimbabwe,7,3.88,4.285714285714286,6522,0.10732904017172647,ZWE
Burkina Faso,6,5.25,3.6666666666666665,4256,0.14097744360902253,BFA
Madagascar,6,0.58,0.16666666666666666,2878,0.20847810979847115,MDG
Benin,5,0.75,0.6,3385,0.14771048744460857,BEN
Bhutan,5,2.5,2.6,448,1.1160714285714286,BTN
Guatemala,5,0.0,0.0,1998,0.2502502502502503,GTM
New Caledonia,5,2.0,1.6,1937,0.2581311306143521,NCL
Barbados,4,2.5,2.0,1533,0.2609262883235486,BRB
Kyrgyzstan,4,0.0,0.0,1318,0.30349013657056145,KGZ
El Salvador,4,8.5,7.25,987,0.4052684903748734,SLV
Zambia,4,0.0,0.0,3495,0.11444921316165953,ZMB
Afghanistan,3,0.0,0.0,705,0.425531914893617,AFG
Honduras,3,7.33,7.0,890,0.33707865168539325,HND
Malawi,3,0.33,0.3333333333333333,4385,0.06841505131128849,MWI
Papua New Guinea,3,2.33,2.3333333333333335,2067,0.14513788098693758,PNG
Dominica,2,12.0,9.0,228,0.8771929824561403,DMA
Dominican Republic,2,0.0,0.0,964,0.2074688796680498,DOM
Faroe Islands,2,1.0,1.0,442,0.4524886877828055,FRO
Gabon,2,0.5,0.5,1857,0.10770059235325795,GAB
Guam,2,0.0,0.0,743,0.2691790040376851,GUM
Laos,2,0.0,0.0,1529,0.13080444735120994,LAO
Monaco,2,0.0,0.0,1436,0.1392757660167131,MCO
Maldives,2,0.5,0.5,184,1.0869565217391304,MDV
Mozambique,2,0.0,0.0,2023,0.09886307464162135,MOZ
French Polynesia,2,0.5,0.5,1138,0.17574692442882248,PYF
San Marino,2,0.0,0.0,168,1.1904761904761905,SMR
Swaziland,2,0.5,0.5,968,0.2066115702479339,SWZ
Chad,2,2.0,2.0,336,0.5952380952380952,TCD
Andorra,1,0.0,0.0,147,0.6802721088435374,AND
Belize,1,8.0,8.0,289,0.34602076124567477,BLZ
Grenada,1,0.0,0.0,814,0.12285012285012285,GRD
Guyana,1,0.0,0.0,490,0.20408163265306123,GUY
Cambodia,1,11.0,11.0,2195,0.04555808656036447,KHM
Niger,1,2.0,2.0,1438,0.06954102920723226,NER
Tajikistan,1,0.0,0.0,1118,0.08944543828264759,TJK
Turkmenistan,1,19.0,11.0,284,0.35211267605633806,TKM
Vanuatu,1,0.0,0.0,279,0.35842293906810035,VUT
